Roll Year,Jurisdiction,Neigh Code,Neigh Description,Situs Street Address,Situs City,Legal Description,First PID,Property Class,Property SubClass,Previous Roll Value,Actual Value Land Total,Actual Value Impr Total,Actual Value Total,Predominant Manual Class Code,Primary Actual Use Code
2024,Township of Esquimalt,307240,North Esquimalt, DE COSTA,ESQUIMALT,"PLAN VIP28829, SECTION 10, ESQUIMALT LAND DISTRICT, EXCEPT PLAN 30568, DEDICATED PARK",,08,,368000,410000,0,410000,,610 - Parks & Playing Fields
2024,Township of Esquimalt,307220,Saxe Point,330 VIEW POINT,ESQUIMALT,"LOT A, PLAN EPP70531, SECTION 11, ESQUIMALT LAND DISTRICT, VICTORIA HARBOUR",030-315-727,06,,14689000,4123000,11542000,15665000,"C392 - Industrial, Engineering","601 - Civic, Institutional & Recreational (Vacant)"
2024,Township of Esquimalt,307220,Saxe Point, PLASKETT,ESQUIMALT,"DISTRICT LOT 154, ESQUIMALT LAND DISTRICT, IN ROYAL BAY EXC BLK A, LEASE/PERMIT/LICENCE # 114219",,01,0101,30500,30500,0,30500,,001 - Vacant Residential Less Than 2 Acres
2024,Township of Esquimalt,307220,Saxe Point, PLASKETT,ESQUIMALT,"DISTRICT LOT 154, ESQUIMALT LAND DISTRICT, IN ROYAL BAY EXC BLK A, LEASE/PERMIT/LICENCE # 114219",,01,0101,30500,30500,0,30500,,001 - Vacant Residential Less Than 2 Acres
2024,Township of Esquimalt,307240,North Esquimalt, ARM,ESQUIMALT,"DISTRICT LOT 153, ESQUIMALT LAND DISTRICT, WATER LOT LEASE FRONTING ON LOT 6 AT ARM ST & SELKIRK AVE.REPLACES LEASE # 100050 COVERING DL 153, ESQUIMALT DIST.CONT 10871 SQ.M. (0.1010 HA) FOR PUBLIC WALKWA Y PURPOSES, LEASE/PERMIT/LICENCE # 106563",,06,,27200,27200,0,27200,,"601 - Civic, Institutional & Recreational (Vacant)"
2024,Township of Esquimalt,307240,North Esquimalt, ARM,ESQUIMALT,"DISTRICT LOT 153, ESQUIMALT LAND DISTRICT, WATER LOT LEASE FRONTING ON LOT 6 AT ARM ST & SELKIRK AVE.REPLACES LEASE # 100050 COVERING DL 153, ESQUIMALT DIST.CONT 10871 SQ.M. (0.1010 HA) FOR PUBLIC WALKWA Y PURPOSES, LEASE/PERMIT/LICENCE # 106563",,06,,27200,27200,0,27200,,"601 - Civic, Institutional & Recreational (Vacant)"
2024,Township of Esquimalt,307240,North Esquimalt, TILLICUM,ESQUIMALT,"ESQUIMALT LAND DISTRICT, ALL THAT FORESHORE AREA SITUATED IN THE GORGE WATER WAY CONTAINING .0228 HA FOR BRIDGESITE PURPOS IT REPLACES LIC#103590, LEASE/PERMIT/LICENCE # 107655",,06,,220000,265000,0,265000,,"601 - Civic, Institutional & Recreational (Vacant)"
2024,Township of Esquimalt,307240,North Esquimalt, TILLICUM,ESQUIMALT,"ESQUIMALT LAND DISTRICT, ALL THAT FORESHORE AREA SITUATED IN THE GORGE WATER WAY CONTAINING .0228 HA FOR BRIDGESITE PURPOS IT REPLACES LIC#103590, LEASE/PERMIT/LICENCE # 107655",,06,,220000,265000,0,265000,,"601 - Civic, Institutional & Recreational (Vacant)"
2024,Township of Esquimalt,307250,Esquimalt Waterfront,1164 RHODA,ESQUIMALT,"LOT 1, PLAN VIP6330, ESQUIMALT LAND DISTRICT, FORESHORE FRONTING ON ESQUIMALT - PRIVATE MOORAGE, LEASE/PERMIT/LICENCE # 114377",,01,0102,5900,2000,3700,5700,1818 - Float - Light Duty,020 - Residential Outbuilding Only
2024,Township of Esquimalt,307250,Esquimalt Waterfront,1164 RHODA,ESQUIMALT,"LOT 1, PLAN VIP6330, ESQUIMALT LAND DISTRICT, FORESHORE FRONTING ON ESQUIMALT - PRIVATE MOORAGE, LEASE/PERMIT/LICENCE # 114377",,01,0102,5900,2000,3700,5700,1818 - Float - Light Duty,020 - Residential Outbuilding Only
