GISLINK,FOLIO,PID,LEGAL_TYPE,UNIT,HOUSE,STREET,combined,taxyear,assess_abbreviation,assess_type,land_gross,land_net,impr_gross,impr_net,Exemption,ObjectId
027-039-781,13081169,027-039-781,STRATA,310,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,1048000,1048000,183000,183000,0,115
027-039-897,13081180,027-039-897,STRATA,401,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,585000,585000,122000,122000,0,116
027-039-871,13081178,027-039-871,STRATA,319,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,643000,643000,115000,115000,0,117
027-039-854,13081176,027-039-854,STRATA,317,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,629000,629000,116000,116000,0,118
027-039-927,13081183,027-039-927,STRATA,404,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,536000,536000,114000,114000,0,119
027-039-935,13081184,027-039-935,STRATA,405,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,782000,782000,149000,149000,0,120
027-039-943,13081185,027-039-943,STRATA,406,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,864000,864000,171000,171000,0,121
027-039-951,13081186,027-039-951,STRATA,407,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,963000,963000,182000,182000,0,122
027-039-994,13081190,027-039-994,STRATA,411,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,1065000,1065000,182000,182000,0,123
027-040-011,13081192,027-040-011,STRATA,413,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,920000,920000,161000,161000,0,124
027-040-062,13081197,027-040-062,STRATA,418,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,673000,673000,119000,119000,0,125
027-039-536,13081145,027-039-536,STRATA,205,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,755000,755000,149000,149000,0,126
027-039-510,13081143,027-039-510,STRATA,203,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,521000,521000,115000,115000,0,127
027-039-595,13081151,027-039-595,STRATA,211,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,1028000,1028000,182000,182000,0,128
027-039-668,13081158,027-039-668,STRATA,219,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,632000,632000,115000,115000,0,129
027-039-706,13081161,027-039-706,STRATA,302,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,531000,531000,115000,115000,0,130
027-039-749,13081165,027-039-749,STRATA,306,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,849000,849000,171000,171000,0,131
027-039-889,13081179,027-039-889,STRATA,320,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,692000,692000,135000,135000,0,132
027-039-862,13081177,027-039-862,STRATA,318,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,661000,661000,119000,119000,0,133
027-039-846,13081175,027-039-846,STRATA,316,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,821000,821000,163000,163000,0,134
027-039-838,13081174,027-039-838,STRATA,315,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,895000,895000,163000,163000,0,135
027-039-811,13081172,027-039-811,STRATA,313,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,904000,904000,161000,161000,0,136
027-039-901,13081181,027-039-901,STRATA,402,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,556000,556000,115000,115000,0,137
027-039-986,13081189,027-039-986,STRATA,410,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,1067000,1067000,183000,183000,0,138
027-040-038,13081194,027-040-038,STRATA,415,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,911000,911000,163000,163000,0,139
027-040-071,13081198,027-040-071,STRATA,419,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,655000,655000,115000,115000,0,140
027-040-143,13081205,027-040-143,STRATA,506,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,880000,880000,171000,171000,0,141
027-040-437,13081234,027-040-437,STRATA,618,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,705000,705000,119000,119000,0,142
027-040-364,13081227,027-040-364,STRATA,609,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,1501000,1501000,248000,248000,0,143
027-040-381,13081229,027-040-381,STRATA,611,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,1506000,1506000,249000,249000,0,144
027-040-305,13081221,027-040-305,STRATA,603,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,608000,608000,114000,114000,0,145
027-040-313,13081222,027-040-313,STRATA,604,68,SONGHEES RD,68 SONGHEES RD,2023,Residential,GENERAL,547000,547000,113000,113000,0,146
027-040-518,13081242,027-040-518,STRATA,208,66,SONGHEES RD,66 SONGHEES RD,2023,Residential,GENERAL,1052000,1052000,204000,204000,0,147
027-040-526,13081243,027-040-526,STRATA,207,66,SONGHEES RD,66 SONGHEES RD,2023,Residential,GENERAL,763000,763000,148000,148000,0,148
027-040-569,13081247,027-040-569,STRATA,203,66,SONGHEES RD,66 SONGHEES RD,2023,Residential,GENERAL,536000,536000,91400,91400,0,149
027-040-623,13081253,027-040-623,STRATA,305,66,SONGHEES RD,66 SONGHEES RD,2023,Residential,GENERAL,627000,627000,110000,110000,0,150
030-242-541,3231046,030-242-541,STRATA,,1122,LEONARD ST,1122 LEONARD ST,2023,Residential,GENERAL,855000,855000,418000,418000,0,151
V02331021,3233021,029-838-029,LAND,,59,COOK ST,59 COOK ST,2023,Residential,GENERAL,1257000,1257000,1540000,1540000,0,152
025-654-578,3239054,025-654-578,STRATA,3,76,MOSS ST,76 MOSS ST,2023,Residential,GENERAL,1058000,1058000,108000,108000,0,153
025-654-586,3239055,025-654-586,STRATA,4,76,MOSS ST,76 MOSS ST,2023,Residential,GENERAL,1083000,1083000,127000,127000,0,154
027-576-914,3239060,027-576-914,STRATA,2,66,MOSS ST,66 MOSS ST,2023,Residential,GENERAL,529000,529000,157000,157000,0,155
027-044-157,3242042,027-044-157,STRATA,,1524,DALLAS RD,1524 DALLAS RD,2023,Residential,GENERAL,1248000,1248000,557000,557000,0,156
V02461049,3246052,009-139-958,LAND,,196,OLIVE ST,196 OLIVE ST,2023,Residential,GENERAL,839000,839000,906000,906000,0,157
026-809-087,3255037,026-809-087,STRATA,,1,BRIAR PL,1 BRIAR PL,2023,Residential,GENERAL,1563000,1563000,541000,541000,0,158
026-817-802,3256018,026-817-802,STRATA,4,307,MOSS ST,307 MOSS ST,2023,Residential,GENERAL,869000,869000,123000,123000,0,159
V03071003,4307049,009-191-372,LAND,,1064,BEVERLEY PL,1064 BEVERLEY PL,2023,Residential,GENERAL,1027000,1027000,2107000,2107000,0,160
030-235-545,4307102,030-235-545,STRATA,102,1765,OAK BAY AVE,1765 OAK BAY AVE,2023,Residential,GENERAL,773000,773000,179000,179000,0,161
030-235-561,4307104,030-235-561,STRATA,104,1765,OAK BAY AVE,1765 OAK BAY AVE,2023,Residential,GENERAL,689000,689000,154000,154000,0,162
030-235-642,4307112,030-235-642,STRATA,206,1765,OAK BAY AVE,1765 OAK BAY AVE,2023,Residential,GENERAL,577000,577000,122000,122000,0,163
030-235-618,4307109,030-235-618,STRATA,203,1765,OAK BAY AVE,1765 OAK BAY AVE,2023,Residential,GENERAL,591000,591000,125000,125000,0,164
030-235-677,4307115,030-235-677,STRATA,303,1765,OAK BAY AVE,1765 OAK BAY AVE,2023,Residential,GENERAL,609000,609000,123000,123000,0,165
030-235-723,4307120,030-235-723,STRATA,402,1765,OAK BAY AVE,1765 OAK BAY AVE,2023,Residential,GENERAL,1054000,1054000,241000,241000,0,166
030-235-740,4307122,030-235-740,STRATA,404,1765,OAK BAY AVE,1765 OAK BAY AVE,2023,Residential,GENERAL,911000,911000,218000,218000,0,167
027-666-875,5333027,027-666-875,STRATA,,132,WILDWOOD AVE,132 WILDWOOD AVE,2023,Residential,GENERAL,366000,366000,173000,173000,0,168
025-754-131,5335074,025-754-131,STRATA,,1801,HOLLYWOOD CRES,1801 HOLLYWOOD CRES,2023,Residential,GENERAL,1540000,1540000,421000,421000,0,169
5335073,5335073,025-593-790,LAND,,50,FOUL BAY RD,50 FOUL BAY RD,2023,Residential,GENERAL,2586000,2586000,1072000,1072000,0,170
V03591030,6359031,031-057-624,LAND,,929,REDFERN ST,929 REDFERN ST,2023,Residential,GENERAL,1088000,1088000,775000,775000,0,171
6362058,6362058,026-228-548,LAND,,956,COWICHAN ST,956 COWICHAN ST,2023,Residential,GENERAL,1089000,1089000,244000,244000,0,172
025-600-338,6372109,025-600-338,STRATA,3,1521,BELCHER AVE,1521 BELCHER AVE,2023,Residential,GENERAL,804000,804000,132000,132000,0,173
025-600-354,6372111,025-600-354,STRATA,5,1521,BELCHER AVE,1521 BELCHER AVE,2023,Residential,GENERAL,774000,774000,131000,131000,0,174
028-613-376,7418036,028-613-376,STRATA,401,1615,BAY ST,1615 BAY ST,2023,Residential,GENERAL,501000,501000,110000,110000,0,175
028-613-350,7418034,028-613-350,STRATA,404,1615,BAY ST,1615 BAY ST,2023,Residential,GENERAL,552000,552000,133000,133000,0,176
028-613-309,7418029,028-613-309,STRATA,205,1615,BAY ST,1615 BAY ST,2023,Residential,GENERAL,407000,407000,97600,97600,0,177
028-613-325,7418031,028-613-325,STRATA,302,1615,BAY ST,1615 BAY ST,2023,Residential,GENERAL,429000,429000,97100,97100,0,178
V04451023,7445028,029-663-750,LAND,,1316,PEMBROKE ST,1316 PEMBROKE ST,2023,Residential,GENERAL,695000,695000,368000,368000,0,179
027-902-455,7448041,027-902-455,STRATA,,1309,VINING ST,1309 VINING ST,2023,Residential,GENERAL,793000,793000,159000,159000,0,180
